"Date","Price","Open","High","Low","Vol.","Change %"
"10-07-2015","35,615","35,469","35,885","35,342","17.49K","0.81%"
"09-07-2015","35,328","34,950","35,722","34,711","29.29K","0.94%"
"08-07-2015","35,000","34,567","35,167","34,100","31.63K","0.97%"
"07-07-2015","34,663","36,002","36,075","34,011","44.16K","-4.20%"
"06-07-2015","36,181","36,025","36,320","35,775","17.62K","1.40%"
"03-07-2015","35,680","35,455","35,725","35,397","0.16K","0.69%"
"02-07-2015","35,435","35,300","35,625","35,147","0.60K","0.17%"
"01-07-2015","35,376","35,864","35,864","35,335","2.85K","-0.45%"
"30-06-2015","35,536","35,778","35,950","35,272","18.79K","-0.89%"
"29-06-2015","35,854","36,200","36,429","35,803","18.46K","-0.32%"
"26-06-2015","35,968","36,090","36,190","35,416","23.90K","-0.38%"
"25-06-2015","36,106","36,311","36,313","35,939","12.96K","-0.21%"
"24-06-2015","36,182","35,994","36,265","35,938","18.92K","0.68%"
"23-06-2015","35,938","36,700","36,721","35,891","26.96K","-2.17%"
"22-06-2015","36,736","36,654","36,900","36,431","21.90K","0.15%"
"19-06-2015","36,680","36,879","36,958","36,250","19.27K","-0.57%"
"18-06-2015","36,892","36,990","37,481","36,842","30.11K","0.04%"
"17-06-2015","36,878","36,818","37,015","36,652","14.44K","0.08%"
"16-06-2015","36,848","36,960","37,125","36,651","16.82K","-0.66%"
"15-06-2015","37,092","36,675","37,371","36,507","24.77K","1.36%"
"12-06-2015","36,594","36,732","36,830","36,534","14.24K","-0.59%"
"11-06-2015","36,812","36,786","36,850","36,450","22.33K","0.22%"
"10-06-2015","36,733","36,956","37,227","36,682","20.91K","-0.35%"
"09-06-2015","36,863","36,977","37,177","36,775","17.14K","0.01%"
"08-06-2015","36,861","37,130","37,220","36,769","15.96K","-0.40%"
"05-06-2015","37,010","37,176","37,280","36,725","24.08K","-0.44%"
"04-06-2015","37,172","38,000","38,065","37,114","26.51K","-2.04%"
"03-06-2015","37,948","38,416","38,472","37,810","24.54K","-1.30%"
"02-06-2015","38,447","38,309","38,550","38,175","19.87K","0.54%"
"01-06-2015","38,242","38,242","39,150","38,030","28.63K","-0.28%"
"29-05-2015","38,349","38,365","38,550","38,217","15.50K","0.14%"
"28-05-2015","38,296","38,340","38,450","38,026","21.31K","-0.15%"
"27-05-2015","38,354","38,583","38,672","38,255","16.54K","-0.41%"
"26-05-2015","38,510","39,040","39,118","38,324","26.37K","-1.61%"
"25-05-2015","39,140","38,762","39,200","38,760","9.12K","0.54%"
"22-05-2015","38,928","39,200","39,538","38,773","23.79K","-0.61%"
"21-05-2015","39,166","39,399","39,455","38,939","18.56K","-0.32%"
"20-05-2015","39,290","39,235","39,550","38,932","21.87K","0.04%"
"19-05-2015","39,276","40,326","40,326","38,856","37.12K","-2.95%"
"18-05-2015","40,470","40,050","40,574","40,050","23.20K","1.30%"
"15-05-2015","39,951","39,591","40,049","39,350","24.87K","0.52%"
"14-05-2015","39,744","39,280","40,130","39,273","32.96K","0.56%"
"13-05-2015","39,524","38,280","39,630","38,253","37.26K","3.02%"
"12-05-2015","38,364","37,764","38,477","37,520","27.94K","1.85%"
"11-05-2015","37,668","37,923","38,137","37,549","20.70K","-0.70%"
"08-05-2015","37,935","37,800","38,150","37,620","24.02K","0.18%"
"07-05-2015","37,865","38,025","38,185","37,640","24.64K","-0.33%"
"06-05-2015","37,992","37,969","38,243","37,742","23.62K","1.87%"
"05-05-2015","37,295","37,100","37,552","36,970","0.41K","0.44%"
"04-05-2015","37,130","36,901","37,742","36,763","0.53K","1.61%"
"01-05-2015","36,540","36,514","36,658","36,077","2.09K","0.07%"
"30-04-2015","36,515","37,350","37,730","36,060","24.53K","-3.18%"
"29-04-2015","37,714","37,498","37,790","37,150","21.97K","0.50%"
"28-04-2015","37,527","37,100","37,600","36,960","23.97K","1.02%"
"27-04-2015","37,148","36,060","37,323","36,016","29.06K","3.33%"
"24-04-2015","35,950","35,972","36,234","35,677","21.56K","-0.45%"
"23-04-2015","36,111","35,830","36,194","35,805","20.19K","0.89%"
"22-04-2015","35,791","36,080","36,320","35,591","24.13K","-1.01%"
"21-04-2015","36,157","36,205","36,515","36,031","22.13K","0.23%"
"20-04-2015","36,074","36,777","36,777","35,950","24.86K","-1.05%"
"17-04-2015","36,455","36,428","36,890","36,369","23.16K","-0.09%"
"16-04-2015","36,487","36,618","36,850","36,125","21.49K","-0.26%"
"15-04-2015","36,581","36,282","36,639","36,066","18.48K","0.70%"
"14-04-2015","36,325","36,380","36,570","35,900","18.28K","-0.64%"
"13-04-2015","36,560","36,731","36,820","36,423","17.24K","-0.42%"
"10-04-2015","36,713","36,444","37,164","36,317","24.91K","1.19%"
"09-04-2015","36,283","36,777","36,777","36,085","22.16K","-1.83%"
"08-04-2015","36,958","37,718","37,840","36,761","21.92K","-1.93%"
"07-04-2015","37,687","38,140","38,140","37,563","17.49K","-1.25%"
"06-04-2015","38,163","37,635","38,588","37,635","23.54K","2.18%"
"02-04-2015","37,349","37,700","37,729","37,107","14.21K","-1.45%"
"01-04-2015","37,900","37,344","38,080","37,030","25.59K","1.97%"
"31-03-2015","37,169","37,336","37,671","37,044","20.63K","-0.79%"
"30-03-2015","37,466","38,200","38,200","37,412","18.92K","-2.42%"
"27-03-2015","38,395","38,319","38,650","37,925","18.98K","-0.56%"
"26-03-2015","38,613","38,258","39,090","38,258","22.74K","1.19%"
"25-03-2015","38,158","37,870","38,340","37,750","18.35K","0.44%"
"24-03-2015","37,991","37,751","38,098","37,669","20.02K","0.56%"
"23-03-2015","37,781","37,721","37,990","37,333","19.47K","-0.02%"
"20-03-2015","37,789","36,466","37,825","36,239","31.87K","3.90%"
"19-03-2015","36,371","35,500","36,436","35,500","25.48K","3.00%"
"18-03-2015","35,312","35,331","35,468","35,130","17.82K","-0.12%"
"17-03-2015","35,356","35,425","35,650","35,019","23.55K","-0.58%"
"16-03-2015","35,563","35,571","35,846","35,352","19.05K","0.00%"
"14-03-2015","35,564","35,564","35,564","35,564","","0.09%"
"13-03-2015","35,533","35,422","35,636","35,370","17.09K","0.59%"
"12-03-2015","35,325","35,173","35,539","35,080","22.32K","0.79%"
"11-03-2015","35,049","35,725","35,828","34,887","26.95K","-1.82%"
"10-03-2015","35,697","35,846","35,990","35,557","23.51K","-0.60%"
"09-03-2015","35,914","36,000","36,188","35,838","15.06K","-0.16%"
"06-03-2015","35,972","36,460","36,460","35,911","19.84K","-0.68%"
"05-03-2015","36,217","36,550","36,550","36,199","0.08K","-0.44%"
"04-03-2015","36,378","36,400","36,525","36,230","0.22K","-0.06%"
"03-03-2015","36,399","36,789","36,798","36,198","0.70K","-0.67%"
"02-03-2015","36,646","37,000","37,180","36,600","2.74K","-0.24%"
"28-02-2015","36,736","36,199","36,779","36,130","4.81K","0.94%"
"27-02-2015","36,393","36,627","36,745","36,231","18.70K","-0.64%"
"26-02-2015","36,628","36,650","37,098","36,559","21.50K","0.47%"
"25-02-2015","36,455","36,200","36,829","36,200","22.24K","1.34%"
